ID;Case Number;Date;Block;IUCR;Primary Type;Description;Location Description;Arrest;Domestic;Beat;District;Ward;Community Area;FBI Code; X Coordinate;Y Coordinate;Year;Updated on;Latitude;Longitude;Location
13743158;JJ142555;02/08/2025 00.00;004XX S DEARBORN ST;460;BATTERY;SIMPLE;RESTAURANT;FALSE;FALSE;113;1;34;32;08B;1175998;1898388;2025;2025 Feb 15 03:41:40 PM;41.876541;-87.62925309;POINT (-87.629253085 41.876541001)
13743224;JJ142583;02/08/2025 00.00;059XX S ASHLAND AVE;041A;BATTERY;AGGRAVATED - HANDGUN;STREET;FALSE;FALSE;713;7;16;67;04B;1166686;1865425;2025;2025 Feb 15 03:41:40 PM;41.78629171;-87.66438601;POINT (-87.664386014 41.786291714)
13743225;JJ142582;02/08/2025 00.00;084XX S PEORIA ST;810;THEFT;OVER $500;RESIDENCE;FALSE;TRUE;613;6;17;71;6;1171785;1848798;2025;2025 Feb 15 03:41:40 PM;41.74055478;-87.64617753;POINT (-87.646177533 41.740554782)
13743255;JJ142694;02/08/2025 00.00;076XX S LOOMIS BLVD;920;MOTOR VEHICLE THEFT;ATTEMPT - AUTOMOBILE;STREET;FALSE;FALSE;612;6;17;71;7;1168325;1854015;2025;2025 Feb 15 03:41:40 PM;41.75494607;-87.65870476;POINT (-87.65870476 41.754946068)
13743311;JJ142739;02/08/2025 00.00;049XX W WEST END AVE;920;MOTOR VEHICLE THEFT;ATTEMPT - AUTOMOBILE;PARKING LOT / GARAGE (NON RESIDENTIAL);FALSE;FALSE;1532;15;28;25;7;1143500;1900531;2025;2025 Feb 15 03:41:40 PM;41.88309122;-87.74852239;POINT (-87.748522394 41.88309122)
13743434;JJ142961;02/08/2025 00.00;071XX S BLACKSTONE AVE;710;THEFT;THEFT FROM MOTOR VEHICLE;STREET;FALSE;FALSE;324;3;8;43;6;1187433;1858097;2025;2025 Feb 15 03:41:40 PM;41.76571494;-87.58855051;POINT (-87.588550511 41.765714941)
13743514;JJ143001;02/08/2025 00.00;006XX W 70TH ST;486;BATTERY;DOMESTIC BATTERY SIMPLE;RESIDENCE;TRUE;TRUE;732;7;6;68;08B;1173376;1858478;2025;2025 Feb 15 03:41:40 PM;41.7670829;-87.64006249;POINT (-87.640062493 41.767082904)
13743531;JJ143031;02/08/2025 00.00;076XX S EBERHART AVE;610;BURGLARY;FORCIBLE ENTRY;RESIDENCE;FALSE;FALSE;624;6;6;69;5;1180899;1854422;2025;2025 Feb 15 03:41:40 PM;41.75578311;-87.61261239;POINT (-87.612612386 41.75578311)
13743594;JJ143002;02/08/2025 00.00;079XX S ASHLAND AVE;460;BATTERY;SIMPLE;GAS STATION;FALSE;FALSE;611;6;17;71;08B;1167051;1852159;2025;2025 Feb 15 03:41:40 PM;41.74988027;-87.66342658;POINT (-87.663426578 41.749880266)
13743610;JJ143178;02/08/2025 00.00;001XX N MASON AVE;1365;CRIMINAL TRESPASS;TO RESIDENCE;APARTMENT;FALSE;FALSE;1512;15;29;25;26;1136752;1900354;2025;2025 Feb 15 03:41:40 PM;41.88272902;-87.77330603;POINT (-87.773306028 41.882729021)
